source_type,source_path,filename,extension,assigned_majors,word_count,preview_top_words
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 180,.csv-row,Computer Science,10,analysis; algorithms
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 181,.csv-row,Computer Science,10,secret; sharing; protocols
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 182,.csv-row,Computer Science,10,secret; sharing; protocols
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 183,.csv-row,Computer Science,8,randomized; algorithms
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 184,.csv-row,Computer Science,8,randomized; algorithms
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 185,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,83,prefix; counted; prior; thesis; non; options; require; minimum
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 186,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,109,minimum; theory; algorithms; prefix; counted; satisfy; prior; professional
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 187,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,82,prefix; counted; prior; thesis; non; options; require; minimum
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 188,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,107,minimum; theory; algorithms; prefix; counted; satisfy; prior; professional
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 189,.csv-row,Computer Science; Artificial Intelligence,10,generative; software; development; lifecycles
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 190,.csv-row,Computer Science,11,introduction; intelligent; autonomous; robots
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 191,.csv-row,Computer Science; Electrical Engineering,11,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 192,.csv-row,Computer Science; Electrical Engineering,11,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 193,.csv-row,Computer Science; Electrical Engineering,11,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 194,.csv-row,Computer Science; Electrical Engineering,11,automatic; biometric; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 195,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,84,prefix; counted; prior; thesis; non; options; require; minimum
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 196,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,110,minimum; theory; algorithms; prefix; counted; satisfy; prior; professional
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 197,.csv-row,Computer Science,10,emerging; multimedia; technologies
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 198,.csv-row,Computer Science,10,emerging; multimedia; technologies
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 199,.csv-row,Computer Science,14,genai; software; dev; lifecycles; instructor
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 200,.csv-row,Computer Science,20,genai; software; dev; lifecycles; distinguished; guest; speaker
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 201,.csv-row,Computer Science; Electrical Engineering; Data Science and Analytics; Artificial Intelligence,119,generative; intelligence; lab; research; software; development; lifecycles; heads
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 202,.csv-row,Electrical Engineering,8,biosignal; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 203,.csv-row,Electrical Engineering,8,biosignal; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 204,.csv-row,Electrical Engineering,8,cmos; amplifiers
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 205,.csv-row,Electrical Engineering,8,cmos; amplifiers
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 206,.csv-row,Electrical Engineering,12,silicon; integrated; circuit; fabrication
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 207,.csv-row,Electrical Engineering,12,silicon; integrated; circuit; fabrication
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 208,.csv-row,Electrical Engineering,12,high; frequency; amplifier; design
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 209,.csv-row,Electrical Engineering,12,high; frequency; amplifier; design
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 210,.csv-row,Electrical Engineering,6,nanobiotechnology
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 211,.csv-row,Electrical Engineering,6,nanobiotechnology
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 212,.csv-row,Electrical Engineering,12,digital; processing; signals
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 213,.csv-row,Electrical Engineering,12,digital; processing; signals
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 214,.csv-row,Electrical Engineering,12,introduction; radar; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 215,.csv-row,Electrical Engineering,12,introduction; radar; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 216,.csv-row,Electrical Engineering,12,devices; circuits
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 217,.csv-row,Electrical Engineering,12,devices; circuits
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 218,.csv-row,Electrical Engineering,10,advanced; signal; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 219,.csv-row,Electrical Engineering,10,advanced; signal; processing
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 220,.csv-row,Electrical Engineering,14,digital; processing; speech; signals
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 221,.csv-row,Electrical Engineering,14,digital; processing; speech; signals
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 222,.csv-row,Electrical Engineering,8,microwave
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 223,.csv-row,Electrical Engineering,8,microwave
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 224,.csv-row,Electrical Engineering,10,digital; communications; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 225,.csv-row,Electrical Engineering,10,digital; communications; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 226,.csv-row,Electrical Engineering,8,modern; control
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 227,.csv-row,Electrical Engineering,8,modern; control
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 228,.csv-row,Electrical Engineering,8,control; systems
