course_code,prefix,number,level,title_or_context,source_page,linked_file_or_page,raw_text
CEN 4910,CEN,4910,undergraduate,or,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CEN 4910 or
CEN 4910,CEN,4910,undergraduate,or COP 4655,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CEN 4910 or COP 4655
CGS 1570,CGS,1570,undergraduate,Computer Applications 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CGS 1570 Computer Applications 1
CGS 1570,CGS,1570,undergraduate,Computer Applications 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cgs1570computer-apps1.pdf,CGS 1570 Computer Applications 1
CGS 1571,CGS,1571,undergraduate,Computer Applications 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CGS 1571 Computer Applications 2
CGS 1571,CGS,1571,undergraduate,Computer Applications 2,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cgs1571computer-app2.pdf,CGS 1571 Computer Applications 2
CIS 4213,CIS,4213,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CIS 4213
CIS 4213,CIS,4213,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CIS 4213
CIS 4367,CIS,4367,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CIS 4367
CIS 4367,CIS,4367,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CIS 4367
CIS 4634,CIS,4634,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CIS 4634
CNT 4007,CNT,4007,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CNT 4007
CNT 4007,CNT,4007,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CNT 4007
CNT 4007,CNT,4007,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CNT 4007
CNT 4104,CNT,4104,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CNT 4104
CNT 4104,CNT,4104,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CNT 4104
CNT 4104,CNT,4104,undergraduate,Introduction to Data Communications,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CNT 4104 Introduction to Data Communications
CNT 4104,CNT,4104,undergraduate,Introduction to Data Communications,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cnt4104intro-data-comm.pdf,CNT 4104 Introduction to Data Communications
CNT 4164,CNT,4164,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CNT 4164
CNT 4164,CNT,4164,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CNT 4164
CNT 4403,CNT,4403,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CNT 4403
CNT 4403,CNT,4403,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CNT 4403
CNT 4403,CNT,4403,undergraduate,Introduction to Data and Network Security,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CNT 4403 Introduction to Data and Network Security
CNT 4403,CNT,4403,undergraduate,Introduction to Data and Network Security,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cnt4403intro-data-network-security.pdf,CNT 4403 Introduction to Data and Network Security
