resource_type,link_text,url,source_page,saved_path,error
syllabus,EEL 4478 Electromagnetic Compatibility,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4478electromagnetic.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4478electromagnetic.pdf,
syllabus,EEL 4510 Introduction to Digital Signal Processing,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4510intro-digital-signal-processing.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4510intro-digital-signal-processing.pdf,
syllabus,EEL 4512 Communication Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4512comm-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4512comm-systems.pdf,
syllabus,EEL 4512L Communication Systems Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4512l-comm-systems-lab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4512l-comm-systems-lab.pdf,
syllabus,EEL 4652 Control Systems 1,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4652control-systems1.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4652control-systems1.pdf,
syllabus,EEL 4652L Control Systems Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4652l-control-systems-lab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4652l-control-systems-lab.pdf,
syllabus,EEL 4656 Analysis of Linear Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4656analysis-linear-systems.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4656analysis-linear-systems.pdf,
syllabus,EEL 4746 Introduction to Microcontrollers and Lab,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4746intro-microcontrollers-and-lab.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4746intro-microcontrollers-and-lab.pdf,
syllabus,EEL 4930 Innovative Product Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4930innovative-product.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4930innovative-product.pdf,
syllabus,EEL 4930 Renewable Energy Systems,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/eel4930renewable-energy.pdf,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ee/,DepCourseInfo\downloaded_forms_and_worksheets\eel4930renewable-energy.pdf,
