top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,ndcg_k,ndcg,map,combined_score
100,0.8,0.55,90,0.5,1.5,30,0.45898094699227077,0.3318520819664349,0.39541651447935283
100,2.2,0.75,60,0.5,1.0,30,0.4591082358791114,0.33164640756965824,0.39537732172438483
100,0.8,0.75,30,0.5,1.5,30,0.45696736016309886,0.33377722061306747,0.3953722903880832
100,1.2,0.35,10,0.5,1.5,30,0.4588973580761797,0.33158447636990224,0.395240917223041
100,2.2,0.55,60,0.5,1.0,30,0.46063168290711204,0.32979591511629774,0.3952137990117049
100,2.2,0.35,10,0.5,1.5,30,0.4598025963275752,0.33057309349174485,0.39518784490966
100,1.5,0.75,10,0.5,0.75,30,0.45747063152850015,0.332621551444748,0.39504609148662406
100,1.5,0.75,10,1.0,1.5,30,0.45747063152850015,0.332621551444748,0.39504609148662406
100,0.8,0.9,90,0.5,1.0,30,0.45893839518301976,0.33106655371751,0.3950024744502649
100,0.8,0.55,30,0.5,1.5,30,0.4576052935563091,0.3321310671303789,0.394868180343344
50,1.8,0.75,10,0.5,1.5,30,0.4605082030222154,0.3291072338339367,0.39480771842807605
100,1.2,0.9,10,0.5,0.75,30,0.45658062247310954,0.3330171548678459,0.39479888867047774
100,1.2,0.9,10,1.0,1.5,30,0.45658062247310954,0.3330171548678459,0.39479888867047774
100,1.5,0.9,60,0.5,0.75,30,0.4577521185450037,0.3314905857096582,0.39462135212733096
100,1.5,0.9,60,1.0,1.5,30,0.4577521185450037,0.3314905857096582,0.39462135212733096
100,0.8,0.55,60,0.5,1.5,30,0.4578080172105015,0.33139719072688434,0.39460260396869296
100,1.2,0.75,90,0.5,1.0,30,0.4580633635459829,0.33113052093642076,0.39459694224120184
100,2.2,0.55,90,0.5,1.0,30,0.4603566559424567,0.3287757399712314,0.39456619795684406
100,2.2,0.75,30,0.5,1.0,30,0.4578802601951094,0.3308145940594314,0.39434742712727044
100,0.8,0.35,10,0.5,1.5,30,0.4571618895452717,0.3314395223108951,0.3943007059280834
100,1.5,0.35,90,0.5,1.5,30,0.4593765284858198,0.32901207740908767,0.3941943029474537
100,2.2,0.35,60,0.5,1.5,30,0.45862164042069536,0.3297270253925868,0.39417433290664106
100,1.5,0.9,30,0.5,0.75,30,0.45520866256698983,0.3330090347772438,0.3941088486721168
100,1.5,0.9,30,1.0,1.5,30,0.45520866256698983,0.3330090347772438,0.3941088486721168
100,1.8,0.75,30,0.5,1.0,30,0.4565029588769814,0.33156949217731074,0.39403622552714607
50,2.2,0.75,10,0.5,1.5,30,0.46019329073716025,0.32778389248648354,0.39398859161182187
100,1.2,0.75,10,0.5,1.0,30,0.4571428086860156,0.3301707718963101,0.39365679029116285
100,0.8,0.75,60,0.5,1.0,30,0.4583767095461669,0.32891572890576287,0.3936462192259649
100,1.5,0.9,90,0.5,0.75,30,0.45593646363942547,0.33125231450968956,0.3935943890745575
100,1.5,0.9,90,1.0,1.5,30,0.45593646363942547,0.33125231450968956,0.3935943890745575
100,0.8,0.9,30,0.5,1.0,30,0.45731201872641336,0.32985627869591166,0.39358414871116254
100,2.2,0.75,30,0.5,0.75,30,0.4545214991281911,0.332262907056702,0.39339220309244655
100,2.2,0.75,30,1.0,1.5,30,0.4545214991281911,0.332262907056702,0.39339220309244655
100,0.8,0.35,90,0.5,1.5,30,0.45806659784376474,0.32860312910018324,0.393334863471974
100,1.5,0.55,30,0.5,1.0,30,0.4583745851978938,0.3282671816123867,0.39332088340514026
100,2.2,0.35,30,0.5,1.5,30,0.4571233168069656,0.32950721915588116,0.39331526798142336
100,1.5,0.35,60,0.5,1.5,30,0.45799533745926563,0.3284892382646073,0.3932422878619365
100,1.8,0.75,30,0.5,0.75,30,0.45477765694891864,0.3316565611119057,0.3932171090304122
100,1.8,0.75,30,1.0,1.5,30,0.45477765694891864,0.3316565611119057,0.3932171090304122
50,1.8,0.9,30,0.5,1.5,30,0.458903988216569,0.3272953510022526,0.3930996696094108
50,1.5,0.75,30,0.5,1.5,30,0.4597121970732743,0.3264384472517387,0.3930753221625065
100,1.2,0.75,30,0.5,1.0,30,0.45698076090561157,0.32913801888284133,0.39305938989422645
100,1.5,0.55,10,0.5,1.0,30,0.4562647981678814,0.3296886436489001,0.39297672090839075
100,1.8,0.35,30,0.5,1.5,30,0.4568916062075072,0.32893119829262457,0.3929114022500659
100,2.2,0.35,90,0.5,1.5,30,0.4580231382062702,0.3277876385970594,0.3929053884016648
100,0.8,0.35,60,0.5,1.5,30,0.45729285482420723,0.3283138106038672,0.3928033327140372
100,1.8,0.35,90,0.5,1.5,30,0.45835394691460435,0.32722019967260263,0.3927870732936035
100,1.2,0.75,60,0.5,1.0,30,0.4550368907734984,0.330526078678786,0.39278148472614216
100,1.2,0.35,90,0.5,1.5,30,0.45776697486025253,0.3277547380166567,0.3927608564384546
50,1.8,0.75,60,0.5,1.5,30,0.457744377701286,0.3277490042008437,0.39274669095106485
100,1.8,0.35,60,0.5,1.5,30,0.4578327924020564,0.32762016790591764,0.39272648015398703
100,1.8,0.55,60,0.5,1.0,30,0.45736995502155225,0.3280375375268548,0.39270374627420357
50,1.8,0.9,60,0.5,1.5,30,0.4571532577209836,0.3282528367105438,0.39270304721576366
100,1.5,0.35,30,0.5,1.5,30,0.4570353992823062,0.3282671741830129,0.39265128673265953
100,1.8,0.55,30,0.5,1.0,30,0.456788370139601,0.32847552867228363,0.3926319494059423
