method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf,700,150,100,1.8,0.9,120,0.25,2.0,0,,30,0.49118280534118647,0.35040630030602726,0.4207945528236069,586,182
rrf,700,150,200,2.6,0.9,120,0.25,1.5,0,,30,0.4891567020175774,0.3524281998074098,0.4207924509124936,586,182
rrf,700,150,200,2.6,0.9,120,0.5,3.0,0,,30,0.4891567020175774,0.3524281998074098,0.4207924509124936,586,182
rrf,700,100,100,2.2,0.9,150,0.25,2.0,0,,30,0.4909602094806516,0.3506113428047966,0.4207857761427241,582,182
rrf,700,100,100,2.2,1.0,150,0.25,1.5,0,,30,0.48998812938228825,0.3515766559238244,0.42078239265305634,582,182
rrf,700,100,100,2.2,1.0,150,0.5,3.0,0,,30,0.48998812938228825,0.3515766559238244,0.42078239265305634,582,182
rrf,700,100,100,2.2,1.0,120,0.5,2.0,0,,30,0.49091178957647646,0.350631830229784,0.42077180990313023,582,182
rrf,700,100,150,2.6,1.0,120,0.25,2.0,0,,30,0.4901430345474019,0.35139523882589385,0.42076913668664784,582,182
rrf,700,100,150,2.2,1.0,60,0.5,2.5,0,,30,0.4902756658828273,0.3512456907574854,0.42076067832015634,582,182
rrf,700,150,200,2.2,1.0,150,0.25,1.5,0,,30,0.4884077137863274,0.3531114884695347,0.4207596011279311,586,182
rrf,700,150,200,2.2,1.0,150,0.5,3.0,0,,30,0.4884077137863274,0.3531114884695347,0.4207596011279311,586,182
rrf,700,100,100,2.6,0.9,150,0.5,2.0,0,,30,0.4918377598982073,0.3496674801533666,0.42075262002578695,582,182
rrf,700,150,100,2.2,0.75,150,0.25,2.5,0,,30,0.4899834105012455,0.35150129108108347,0.4207423507911645,586,182
rrf,700,100,100,2.6,1.0,90,0.25,1.5,0,,30,0.4906153164086227,0.3508661578986777,0.42074073715365023,582,182
rrf,700,100,100,2.6,1.0,90,0.5,3.0,0,,30,0.4906153164086227,0.3508661578986777,0.42074073715365023,582,182
rrf,700,100,100,2.6,1.0,120,0.25,1.5,0,,30,0.49058351540802203,0.35089592473585135,0.4207397200719367,582,182
rrf,700,100,100,2.6,1.0,120,0.5,3.0,0,,30,0.49058351540802203,0.35089592473585135,0.4207397200719367,582,182
rrf,700,100,100,1.8,0.9,150,0.25,1.5,0,,30,0.49077987600593326,0.3506898669209811,0.42073487146345717,582,182
rrf,700,100,100,1.8,0.9,150,0.5,3.0,0,,30,0.49077987600593326,0.3506898669209811,0.42073487146345717,582,182
rrf,700,150,100,1.8,1.0,150,0.25,2.5,0,,30,0.4908443883512074,0.3505949058313244,0.4207196470912659,586,182
rrf,700,100,150,2.2,1.0,90,0.25,1.5,0,,30,0.490116569421832,0.3512915158484845,0.42070404263515826,582,182
rrf,700,100,150,2.2,1.0,90,0.5,3.0,0,,30,0.490116569421832,0.3512915158484845,0.42070404263515826,582,182
rrf,700,150,100,1.8,1.0,90,0.25,1.5,0,,30,0.49127949761031114,0.35012795464491286,0.420703726127612,586,182
rrf,700,150,100,1.8,1.0,90,0.5,3.0,0,,30,0.49127949761031114,0.35012795464491286,0.420703726127612,586,182
rrf,700,150,100,2.2,1.0,150,0.25,2.5,0,,30,0.49106059212868597,0.350286950860999,0.4206737714948425,586,182
rrf,700,150,200,2.6,1.0,150,0.25,1.5,0,,30,0.4884596690274142,0.3528850654974584,0.4206723672624363,586,182
rrf,700,150,200,2.6,1.0,150,0.5,3.0,0,,30,0.4884596690274142,0.3528850654974584,0.4206723672624363,586,182
rrf,700,150,150,2.2,1.0,120,0.25,1.5,0,,30,0.4893027555140588,0.35202996616913873,0.42066636084159875,586,182
rrf,700,150,150,2.2,1.0,120,0.5,3.0,0,,30,0.4893027555140588,0.35202996616913873,0.42066636084159875,586,182
rrf,700,100,100,1.8,1.0,120,0.25,1.5,0,,30,0.4899071034125805,0.35131001021094405,0.42060855681176224,582,182
rrf,700,100,100,1.8,1.0,120,0.5,3.0,0,,30,0.4899071034125805,0.35131001021094405,0.42060855681176224,582,182
rrf,700,150,200,1.8,1.0,150,0.25,1.5,0,,30,0.48811431254553206,0.3530920829776799,0.420603197761606,586,182
rrf,700,150,200,1.8,1.0,150,0.5,3.0,0,,30,0.48811431254553206,0.3530920829776799,0.420603197761606,586,182
rrf,700,100,100,2.6,1.0,60,0.25,1.5,0,,30,0.49077112426457287,0.350408363287272,0.4205897437759224,582,182
rrf,700,100,100,2.6,1.0,60,0.5,3.0,0,,30,0.49077112426457287,0.350408363287272,0.4205897437759224,582,182
rrf,700,100,100,1.8,1.0,90,0.25,1.5,0,,30,0.4906533225475536,0.3505146792775466,0.4205840009125501,582,182
rrf,700,100,100,1.8,1.0,90,0.5,3.0,0,,30,0.4906533225475536,0.3505146792775466,0.4205840009125501,582,182
rrf,700,150,200,1.8,1.0,150,0.25,2.0,0,,30,0.4893898017095459,0.3517669264025896,0.42057836405606774,586,182
rrf,700,100,100,1.8,0.9,120,0.25,2.5,0,,30,0.4908722316313709,0.3502048835452451,0.420538557588308,582,182
rrf,700,150,200,2.2,1.0,150,0.5,2.5,0,,30,0.48748047415370926,0.3535823781668998,0.42053142616030453,586,182
rrf,700,100,100,1.8,0.9,120,0.25,1.5,0,,30,0.49091535224341804,0.35014120160653944,0.42052827692497874,582,182
rrf,700,100,100,1.8,0.9,120,0.5,3.0,0,,30,0.49091535224341804,0.35014120160653944,0.42052827692497874,582,182
rrf,700,150,200,2.6,1.0,120,0.25,1.5,0,,30,0.4884978068547385,0.352497728017878,0.42049776743630823,586,182
rrf,700,150,200,2.6,1.0,120,0.5,3.0,0,,30,0.4884978068547385,0.352497728017878,0.42049776743630823,586,182
rrf,700,150,200,2.2,1.0,120,0.5,2.5,0,,30,0.48761478488688176,0.3533602722008881,0.42048752854388494,586,182
rrf,700,150,100,2.2,0.9,120,0.25,1.5,0,,30,0.4898713953765803,0.3510885362246254,0.4204799658006029,586,182
rrf,700,150,100,2.2,0.9,120,0.5,3.0,0,,30,0.4898713953765803,0.3510885362246254,0.4204799658006029,586,182
rrf,700,100,150,2.6,1.0,90,0.25,1.5,0,,30,0.4897010409164365,0.35125729367314457,0.4204791672947905,582,182
rrf,700,100,150,2.6,1.0,90,0.5,3.0,0,,30,0.4897010409164365,0.35125729367314457,0.4204791672947905,582,182
rrf,700,100,100,2.2,0.9,120,0.25,2.0,0,,30,0.49077707469796694,0.35016281914776565,0.4204699469228663,582,182
rrf,700,100,150,2.6,1.0,60,0.25,1.5,0,,30,0.48997264878436386,0.35093510782195286,0.4204538783031584,582,182
rrf,700,100,150,2.6,1.0,60,0.5,3.0,0,,30,0.48997264878436386,0.35093510782195286,0.4204538783031584,582,182
rrf,700,100,100,2.2,0.9,150,0.25,3.0,0,,30,0.48974373117683784,0.3511053390312426,0.4204245351040402,582,182
rrf,700,100,100,1.8,0.9,60,0.25,1.5,0,,30,0.4906234980097622,0.35022471362928165,0.42042410581952194,582,182
rrf,700,100,100,1.8,0.9,60,0.5,3.0,0,,30,0.4906234980097622,0.35022471362928165,0.42042410581952194,582,182
rrf,700,100,100,2.2,0.75,150,0.5,2.0,0,,30,0.493209166062811,0.34762067772798694,0.420414921895399,582,182
rrf,700,150,200,2.2,1.0,120,0.25,2.0,0,,30,0.4888438117820421,0.35197798189353396,0.42041089683778804,586,182
rrf,700,150,200,2.6,1.0,150,0.25,2.0,0,,30,0.48891882446268337,0.3518888890517799,0.42040385675723163,586,182
rrf,700,150,100,1.8,1.0,120,0.25,1.5,0,,30,0.48980379797999835,0.3509977602289457,0.42040077910447204,586,182
rrf,700,150,100,1.8,1.0,120,0.5,3.0,0,,30,0.48980379797999835,0.3509977602289457,0.42040077910447204,586,182
rrf,700,100,100,2.6,1.0,120,0.5,2.0,0,,30,0.49080199171476896,0.34996783972057377,0.42038491571767134,582,182
rrf,700,100,150,1.8,0.9,90,0.25,1.5,0,,30,0.49008470741456095,0.35067160039979495,0.4203781539071779,582,182
rrf,700,100,150,1.8,0.9,90,0.5,3.0,0,,30,0.49008470741456095,0.35067160039979495,0.4203781539071779,582,182
rrf,700,100,100,2.2,1.0,60,0.25,1.5,0,,30,0.49065375428187197,0.3500944798264295,0.42037411705415073,582,182
rrf,700,100,100,2.2,1.0,60,0.5,3.0,0,,30,0.49065375428187197,0.3500944798264295,0.42037411705415073,582,182
rrf,700,100,150,1.8,1.0,150,0.25,2.0,0,,30,0.49037044269551044,0.3503765181559738,0.42037348042574213,582,182
rrf,700,100,100,2.2,1.0,90,0.5,2.0,0,,30,0.49046902813670995,0.3502244932918853,0.42034676071429766,582,182
rrf,700,150,150,2.2,1.0,150,0.25,2.5,0,,30,0.4891463050290075,0.35153801919957134,0.42034216211428943,586,182
rrf,700,100,100,2.2,1.0,60,0.25,2.0,0,,30,0.4898651850247894,0.35081583703229124,0.4203405110285403,582,182
rrf,700,150,150,2.2,1.0,90,0.5,2.5,0,,30,0.4885355156082968,0.3521341691713107,0.42033484238980373,586,182
rrf,700,100,100,1.8,0.9,150,0.25,3.0,0,,30,0.4896287170966508,0.35103781335258627,0.42033326522461856,582,182
rrf,700,100,100,2.6,1.0,60,0.5,2.5,0,,30,0.4905972145754572,0.3500679752682501,0.42033259492185365,582,182
rrf,700,150,150,2.2,1.0,120,0.25,2.0,0,,30,0.4889846088477917,0.3516744101972828,0.4203295095225372,586,182
rrf,700,150,100,1.8,0.75,150,0.25,2.0,0,,30,0.4891453929533723,0.3514837544294695,0.4203145736914209,586,182
rrf,700,150,200,2.2,1.0,120,0.25,1.5,0,,30,0.4882684500080626,0.35235352981264667,0.42031098991035465,586,182
rrf,700,150,200,2.2,1.0,120,0.5,3.0,0,,30,0.4882684500080626,0.35235352981264667,0.42031098991035465,586,182
rrf,700,150,200,2.2,0.9,120,0.25,1.5,0,,30,0.48935967410844633,0.3512587219904945,0.4203091980494704,586,182
rrf,700,150,200,2.2,0.9,120,0.5,3.0,0,,30,0.48935967410844633,0.3512587219904945,0.4203091980494704,586,182
rrf,700,100,100,1.8,0.75,150,0.25,2.0,0,,30,0.4897771831570652,0.3508338448287544,0.42030551399290983,582,182
rrf,700,100,150,1.8,1.0,90,0.25,2.0,0,,30,0.4906007768168063,0.35000556935884947,0.4203031730878279,582,182
rrf,700,150,100,1.8,1.0,150,0.25,2.0,0,,30,0.4900257173329781,0.3505402030567381,0.4202829601948581,586,182
rrf,700,100,150,1.8,1.0,120,0.25,2.0,0,,30,0.49029878386473325,0.35025017759714844,0.42027448073094087,582,182
rrf,700,150,100,1.8,1.0,120,0.25,2.0,0,,30,0.4901213160958375,0.3503982706838259,0.42025979338983166,586,182
rrf,700,100,100,1.8,1.0,120,0.5,2.5,0,,30,0.48998157866642217,0.35050738172203905,0.4202444801942306,582,182
rrf,700,100,100,1.8,0.9,90,0.25,2.0,0,,30,0.49068518013055973,0.34976577012889243,0.4202254751297261,582,182
rrf,700,150,100,2.6,1.0,120,0.25,2.0,0,,30,0.49083511275019204,0.34959598973877465,0.42021555124448334,586,182
rrf,700,100,100,1.8,0.75,90,0.25,1.5,0,,30,0.4893768245675316,0.351013603719987,0.4201952141437593,582,182
rrf,700,100,100,1.8,0.75,90,0.5,3.0,0,,30,0.4893768245675316,0.351013603719987,0.4201952141437593,582,182
rrf,700,100,100,2.2,0.75,120,0.25,2.0,0,,30,0.4901497735134184,0.35023750734774595,0.42019364043058216,582,182
rrf,700,100,150,2.6,1.0,60,0.5,2.5,0,,30,0.4897411797230185,0.3506411376778504,0.42019115870043444,582,182
rrf,700,150,100,2.2,0.9,150,0.25,2.0,0,,30,0.48961551273188625,0.3507433706007355,0.4201794416663109,586,182
rrf,700,100,100,2.6,0.9,120,0.25,2.5,0,,30,0.4897017534097485,0.350634156744374,0.42016795507706123,582,182
rrf,700,100,100,2.2,0.9,150,0.5,2.0,0,,30,0.4911695078664131,0.3491445016266813,0.4201570047465472,582,182
rrf,700,150,100,2.2,0.75,150,0.25,2.0,0,,30,0.4888646677891425,0.3513905916096585,0.42012762969940054,586,182
rrf,700,100,150,1.8,0.9,60,0.25,1.5,0,,30,0.4899301200795912,0.35032006122352816,0.4201250906515597,582,182
rrf,700,100,150,1.8,0.9,60,0.5,3.0,0,,30,0.4899301200795912,0.35032006122352816,0.4201250906515597,582,182
rrf,700,100,200,1.8,0.9,90,0.25,1.5,0,,30,0.48998805696206393,0.3502555489380934,0.42012180295007867,582,182
rrf,700,100,200,1.8,0.9,90,0.5,3.0,0,,30,0.48998805696206393,0.3502555489380934,0.42012180295007867,582,182
rrf,700,100,100,1.8,0.75,150,0.25,2.5,0,,30,0.48957090748374904,0.3506472116108346,0.42010905954729183,582,182
rrf,700,150,200,2.2,1.0,90,0.5,2.5,0,,30,0.4875240223206985,0.3526855961777587,0.4201048092492286,586,182
rrf,700,100,100,2.6,1.0,120,0.25,3.0,0,,30,0.4902452888893711,0.3499497699090282,0.42009752939919964,582,182
rrf,700,100,100,1.8,0.75,120,0.25,2.0,0,,30,0.4897425300632862,0.3504103056834465,0.42007641787336636,582,182
rrf,700,150,200,2.6,1.0,150,0.5,2.5,0,,30,0.4871970388266786,0.35294784556885644,0.4200724421977675,586,182
rrf,700,100,100,2.6,0.75,150,0.25,3.0,0,,30,0.4891893374166987,0.35094979910725427,0.4200695682619765,582,182
rrf,700,100,150,2.2,1.0,60,0.25,1.5,0,,30,0.4898426996897843,0.35026518587628014,0.4200539427830322,582,182
rrf,700,100,150,2.2,1.0,60,0.5,3.0,0,,30,0.4898426996897843,0.35026518587628014,0.4200539427830322,582,182
rrf,700,150,100,1.8,0.75,150,0.25,3.0,0,,30,0.48804360929578366,0.3520591394163429,0.4200513743560633,586,182
rrf,700,100,100,2.2,1.0,60,0.5,2.0,0,,30,0.48930791488994674,0.3507921184721142,0.4200500166810305,582,182
