method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.25,1.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.5,3.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.29071848266080297,0.356502319618702,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.2902820806946549,0.3562841186356279,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.5,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.2902820806946549,0.3562841186356279,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,120,0.25,2.5,100,BAAI/bge-reranker-base,30,0.422286156576601,0.2902820806946549,0.3562841186356279,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,3.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.2902820806946549,0.3562841186356279,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,90,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.2902820806946549,0.3562841186356279,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,2.0,100,BAAI/bge-reranker-base,30,0.422286156576601,0.2902820806946549,0.3562841186356279,582,182
rrf_plus_rerank,700,150,100,2.2,1.0,120,0.25,2.0,100,BAAI/bge-reranker-base,30,0.423106340029614,0.2890117451489104,0.35605904258926224,586,182
rrf_plus_rerank,700,100,150,2.6,1.0,150,0.25,2.5,100,BAAI/bge-reranker-base,30,0.4165688318881093,0.2914105992143705,0.3539897155512399,582,182
rrf_plus_rerank,700,100,150,1.8,1.0,150,0.25,3.0,100,BAAI/bge-reranker-base,30,0.4146495795068472,0.28979380676436545,0.35222169313560636,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,120,0.25,2.5,100,BAAI/bge-reranker-base,30,0.41063917694437274,0.29016433226464894,0.35040175460451084,582,182
rrf_plus_rerank,700,100,150,2.6,1.0,120,0.25,2.5,100,BAAI/bge-reranker-base,30,0.41063917694437274,0.29012874049243076,0.3503839587184018,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,2.5,100,BAAI/bge-reranker-base,30,0.41063917694437274,0.2901205725790677,0.3503798747617202,582,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.25,2.0,100,BAAI/bge-reranker-base,30,0.4127442767778752,0.2877565747405054,0.3502504257591903,586,182
rrf_plus_rerank,700,150,200,2.2,1.0,150,0.25,2.0,100,BAAI/bge-reranker-base,30,0.41181010257150236,0.2882564809762573,0.3500332917738798,586,182
rrf_plus_rerank,700,100,150,2.6,1.0,150,0.25,3.0,100,BAAI/bge-reranker-base,30,0.4104694537617739,0.2890266571404447,0.3497480554511093,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,3.0,100,BAAI/bge-reranker-base,30,0.4104694537617739,0.2890125084552362,0.34974098110850504,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,2.0,100,BAAI/bge-reranker-base,30,0.4123582834407147,0.2868745592755545,0.3496164213581346,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,90,0.25,2.0,100,BAAI/bge-reranker-base,30,0.40634428516710874,0.2859196229514581,0.34613195405928343,582,182
rrf_plus_rerank,700,150,200,1.8,0.9,120,0.25,1.5,100,BAAI/bge-reranker-base,30,0.4084846787249835,0.28374403404153425,0.3461143563832589,586,182
rrf_plus_rerank,700,150,200,1.8,0.9,120,0.5,3.0,100,BAAI/bge-reranker-base,30,0.4084846787249835,0.28374403404153425,0.3461143563832589,586,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.25,1.5,100,BAAI/bge-reranker-base,30,0.40862184038053584,0.28288324839561557,0.3457525443880757,586,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.5,3.0,100,BAAI/bge-reranker-base,30,0.40862184038053584,0.28288324839561557,0.3457525443880757,586,182
rrf_plus_rerank,700,150,200,2.6,0.9,150,0.25,1.5,100,BAAI/bge-reranker-base,30,0.4073100187490498,0.2836818033399996,0.3454959110445247,586,182
rrf_plus_rerank,700,150,200,2.6,0.9,150,0.5,3.0,100,BAAI/bge-reranker-base,30,0.4073100187490498,0.2836818033399996,0.3454959110445247,586,182
rrf_plus_rerank,700,150,200,1.8,0.9,150,0.25,1.5,100,BAAI/bge-reranker-base,30,0.4069918138306986,0.2830040566957453,0.344997935263222,586,182
rrf_plus_rerank,700,150,200,1.8,0.9,150,0.5,3.0,100,BAAI/bge-reranker-base,30,0.4069918138306986,0.2830040566957453,0.344997935263222,586,182
